SOURCE_ID,SOURCE_FAMILY,FILE_NAME,PATH,VERSION,SHA256,AUTHORITY_RANK,STATUS,NOTES
SRC-001,FUNCTION_SPEC_V2,????_???_??_??_???_v2.0_???.pdf,C:/Users/PC/Downloads/????_???_??_??_???_v2.0_???.pdf,v2.0 FINAL 2026-08-13,,1,PRESENT,Top SSOT; temporary ASCII copy used for extraction.
SRC-002,PROCESS_SPEC_V2,????_??_??_??_??_????_v2.0_???.pdf,C:/Users/PC/Downloads/????_??_??_??_??_????_v2.0_???.pdf,v2.0 FINAL 2026-08-13,,1,PRESENT,Top SSOT process document; phase gates.
SRC-003,REQUESTED_LEGACY_OR_EXACT_DOC,???? 1? ??? ?? ?? ??,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-004,REQUESTED_LEGACY_OR_EXACT_DOC,???? 2? ??? ?? ?? ??,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-005,REQUESTED_LEGACY_OR_EXACT_DOC,???? 3? ??? ?? ?? ??,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-006,REQUESTED_LEGACY_OR_EXACT_DOC,???? 4? ??? ?? ?? ??,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-007,REQUESTED_LEGACY_OR_EXACT_DOC,???? 5? ??? ?? ?? ??,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-008,REQUESTED_LEGACY_OR_EXACT_DOC,MASTER_SPEC_v3.md,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-009,REQUESTED_LEGACY_OR_EXACT_DOC,00_SCREEN_SPECIFICATION.md,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-010,REQUESTED_LEGACY_OR_EXACT_DOC,implementation-checklist.md,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-011,REQUESTED_LEGACY_OR_EXACT_DOC,repo-structure.md,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-012,REQUESTED_LEGACY_OR_EXACT_DOC,APPENDIX_A_adsense_v3_1.md,UNRESOLVED_SOURCE_PATH,unknown,,2,UNRESOLVED_SOURCE_PATH,Exact requested source path not found as a canonical file during Phase 0; do not invent path.
SRC-013,CODEX_DOCS,00_INDEX.md,docs/codex/00_INDEX.md,repo-current,E9A9637EBC38F1D5EA2739D94D17E97FC44D574E40935D27C4584243A2ABE23B,3,PRESENT,Repository source registry entry
SRC-014,CODEX_DOCS,01_PROJECT_BRIEF.md,docs/codex/01_PROJECT_BRIEF.md,repo-current,2F0929CC7F80B1F084F33D9AA508F8B37257A0E02BF66CC36C90802FC51BE607,3,PRESENT,Repository source registry entry
SRC-015,CODEX_DOCS,02_MASTER_REQUIREMENTS.md,docs/codex/02_MASTER_REQUIREMENTS.md,repo-current,EAEA371D5EDF90EE393C3CE09DCD335431B94945A9FBD87286EFA6682C2A9536,3,PRESENT,Repository source registry entry
SRC-016,CODEX_DOCS,03_ARCHITECTURE.md,docs/codex/03_ARCHITECTURE.md,repo-current,59B5C14826FB1147ACD2D96402227937477C8C740EB7A6F94E3026998C3529A9,3,PRESENT,Repository source registry entry
SRC-017,CODEX_DOCS,04_SERVER_AUTHORITY_RULES.md,docs/codex/04_SERVER_AUTHORITY_RULES.md,repo-current,5CD8BD9A341CBEEDFE25416071BC25FCD52D65E805699A540742740DF60C6210,3,PRESENT,Repository source registry entry
SRC-018,CODEX_DOCS,05_PRIVACY_ADS_SECURITY.md,docs/codex/05_PRIVACY_ADS_SECURITY.md,repo-current,EFAC66C8071047DD77C41651DF6A621E38718CC38204CF792A35E47EACD21831,3,PRESENT,Repository source registry entry
SRC-019,CODEX_DOCS,06_MOBILE_APP_CONTEXT.md,docs/codex/06_MOBILE_APP_CONTEXT.md,repo-current,9FA387025185FDDBF52E32E6F341104AF900729744C879363045BC464475E8C7,3,PRESENT,Repository source registry entry
SRC-020,CODEX_DOCS,07_API_CONTEXT.md,docs/codex/07_API_CONTEXT.md,repo-current,042187298E4269792F4365163337502CC59078020B4215B62DD257C1984FFA3D,3,PRESENT,Repository source registry entry
SRC-021,CODEX_DOCS,08_FILE_COMPLETION_LOG.md,docs/codex/08_FILE_COMPLETION_LOG.md,repo-current,AC1155E2270B02CC91DFC200D6ACBFD34FC5E950F588DF10EACAFA520CC3A86B,3,PRESENT,Repository source registry entry
SRC-022,CODEX_DOCS,09_VALIDATION_PROTOCOL.md,docs/codex/09_VALIDATION_PROTOCOL.md,repo-current,0DF4046110D9546DDBD40ED3151FEC57B149E6FE01BFBB4153E2503A16B304A1,3,PRESENT,Repository source registry entry
SRC-023,CODEX_DOCS,00_CURRENT_BASELINE_AUDIT.md,docs/codex/100-completion/00_CURRENT_BASELINE_AUDIT.md,repo-current,32F1FE06C652098F90CE4241D09EDC0B3F617F199A996AC87C79B6F69B868189,3,PRESENT,Repository source registry entry
SRC-024,CODEX_DOCS,01_SOURCE_DOCUMENT_INDEX.md,docs/codex/100-completion/01_SOURCE_DOCUMENT_INDEX.md,repo-current,19A3D6B88245B66697F6158EEE54358CC1C5E336CFA9C46A512202D3189B6E89,3,PRESENT,Repository source registry entry
SRC-025,CODEX_DOCS,02_REQUIREMENTS_TRACEABILITY_MATRIX.csv,docs/codex/100-completion/02_REQUIREMENTS_TRACEABILITY_MATRIX.csv,repo-current,3B2825D8AA25CCF33C4C0CDEE59FE18B6374B7412C18EBD5819B0B52B848699E,3,PRESENT,Repository source registry entry
SRC-026,CODEX_DOCS,03_REQUIREMENTS_TRACEABILITY_MATRIX.md,docs/codex/100-completion/03_REQUIREMENTS_TRACEABILITY_MATRIX.md,repo-current,7670051DB3F593E0091266BFA79FF98A4BA16854F58DB8FA8A331FDD3F42E149,3,PRESENT,Repository source registry entry
SRC-027,CODEX_DOCS,04_CONFLICT_DECISION_LOG.md,docs/codex/100-completion/04_CONFLICT_DECISION_LOG.md,repo-current,DCAB503C5D19DCBA060F653F160C83D2D5438A4D93E000F2F0440520E66FDAA5,3,PRESENT,Repository source registry entry
SRC-028,CODEX_DOCS,05_GAP_REGISTER.md,docs/codex/100-completion/05_GAP_REGISTER.md,repo-current,97261C174ADDF4BDB1D3523195701344CFA110CD19D596F5EA071E891154EF57,3,PRESENT,Repository source registry entry
SRC-029,CODEX_DOCS,06_IMPLEMENTATION_PLAN.md,docs/codex/100-completion/06_IMPLEMENTATION_PLAN.md,repo-current,7F88E3B8C726B86F36AE7F6DAA1322AB301536E8D28961DBA034AF67F5A08B5E,3,PRESENT,Repository source registry entry
SRC-030,CODEX_DOCS,07_DEVICE_TEST_MATRIX.md,docs/codex/100-completion/07_DEVICE_TEST_MATRIX.md,repo-current,1FD623253AA7EC243FE30D9C252A2CFB39FFE975BA2E18F9FC87091989D654B1,3,PRESENT,Repository source registry entry
SRC-031,CODEX_DOCS,08_RELEASE_GATE_MATRIX.md,docs/codex/100-completion/08_RELEASE_GATE_MATRIX.md,repo-current,BB38D85290828E1B8686851EC4A0C2EC4775DFCF2FB2465A57B9A2CE03A410B9,3,PRESENT,Repository source registry entry
SRC-032,CODEX_DOCS,09_EXTERNAL_APPROVAL_GATES.md,docs/codex/100-completion/09_EXTERNAL_APPROVAL_GATES.md,repo-current,EE5DDA18C2321DE1E16DC7717FB7A9DAEA4344311321CD0C5BDB7087FC03C403,3,PRESENT,Repository source registry entry
SRC-033,CODEX_DOCS,100_ITERATION_090_CI_RUNTIME_ASSET_CONTRACT_RECOVERY.md,docs/codex/100-completion/100_ITERATION_090_CI_RUNTIME_ASSET_CONTRACT_RECOVERY.md,repo-current,1BC759D239650E05B073F0019A0150A79D1FB8C47CBC0167B6C3326ED6BC8B09,3,PRESENT,Repository source registry entry
