resource,ownerUser,attackerUser,operation,resourceId,httpStatus,errorCode,apiAuthz,rlsResult,expected,actual,status,evidenceRef
payroll_plans,5700efaefbe7bf32,beba543cbd50368c,B_READ_A_ID,348d95c5343dc7bc,404,PAYROLL_PLAN_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,028e47783277437d
payroll_plans,5700efaefbe7bf32,beba543cbd50368c,B_UPDATE_A_ID,348d95c5343dc7bc,404,PAYROLL_PLAN_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,2783ca3cd56b0c81
payroll_plans,5700efaefbe7bf32,beba543cbd50368c,B_FINALIZE_A_ID,7c2c902792704c1d,404,PAYROLL_PLAN_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,6a1f44dab5288858
fixed_expenses,5700efaefbe7bf32,beba543cbd50368c,B_READ_A_ID,fceeb65f6820d060,404,FIXED_EXPENSE_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,376d6d9ee4ecbffb
fixed_expenses,5700efaefbe7bf32,beba543cbd50368c,B_UPDATE_A_ID,fceeb65f6820d060,404,FIXED_EXPENSE_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,78130d80219c4800
fixed_expenses,5700efaefbe7bf32,beba543cbd50368c,B_DELETE_A_ID,fceeb65f6820d060,404,FIXED_EXPENSE_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,ad51fd881da8ad41
savings_plans,5700efaefbe7bf32,beba543cbd50368c,B_READ_A_ID,f2543b0373d2d69f,404,SAVINGS_GOAL_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,b8b871772f8c5fcd
savings_plans,5700efaefbe7bf32,beba543cbd50368c,B_UPDATE_A_ID,f2543b0373d2d69f,404,SAVINGS_GOAL_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,0d43cfb704ec61e4
savings_plans,5700efaefbe7bf32,beba543cbd50368c,B_DELETE_A_ID,f2543b0373d2d69f,404,SAVINGS_GOAL_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,2c8d5eb41ca79e23
daily_budgets,5700efaefbe7bf32,beba543cbd50368c,B_READ_A_ID,0f0218d834d113df,404,DAILY_BUDGET_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,06df97b49cde9e43
daily_budgets,5700efaefbe7bf32,beba543cbd50368c,B_UPDATE_A_ID,0f0218d834d113df,404,DAILY_BUDGET_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,6c9bf3b2cf0a3223
daily_budgets,5700efaefbe7bf32,beba543cbd50368c,B_DELETE_A_ID,0f0218d834d113df,404,DAILY_BUDGET_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,94d362fa3886a025
variable_expenses,5700efaefbe7bf32,beba543cbd50368c,B_READ_A_ID,351c14cd4bb1c78c,404,VARIABLE_EXPENSE_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,3393e422c1a7b446
variable_expenses,5700efaefbe7bf32,beba543cbd50368c,B_UPDATE_A_ID,351c14cd4bb1c78c,404,VARIABLE_EXPENSE_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,26d2f28810e2674a
variable_expenses,5700efaefbe7bf32,beba543cbd50368c,B_VOID_A_ID,4bdbdfa06a341481,404,VARIABLE_EXPENSE_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,f33eb1bfe22728eb
calculation_snapshots,5700efaefbe7bf32,beba543cbd50368c,B_ROUTE_PROBE_A_PLAN,062dc99c45dc3744,404,PAYROLL_ROUTE_NOT_FOUND,DENIED_OR_INVISIBLE,PHASE2_RLS_PASS_PLUS_API_OWNER_FILTER,403/404/405/409,404,PASS,4a131750db221c5c
